#BIBLE VERSE DESKTOP

#name   	Hindi Bible
#language	hindi

; Scripture taken from the Hindi Bible. 

परमेश्वर के पास आनेवाले को विश्वास करना चाहिए, कि वह है	इब्रानियों 11:6
अपके खोजनेवालोंको प्रतिफल देता है।	इब्रानियों 11:6
हम पृय्‍वी पर परदेशी और बाहरी हैं।	इब्रानियों 11:13
इन्‍होंने विश्वास ही के द्वारा राज्य जीते; धर्म के काम किए; प्रतिज्ञा की हुई वस्‍तुएं प्राप्‍त की	इब्रानियों 11:33
परमेश्वर ने हमारे लिथे पहिले से एक उत्तम बात ठहराई	इब्रानियों 11:40
हर एक रोकनेवाली वस्‍तु, और उलफानेवाले पाप को दूर करके	इब्रानियों 12:1
वह दौड़ जिस में हमें दौड़ना है, धीरज से दौड़ें।	इब्रानियों 12:1
उस आनन्‍द के लिथे जो उसके आगे धरा या,… क्रूस का दुख सहा	इब्रानियों 12:2
इसलिथे उस पर ध्यान करो, जिस ने अपके विरोध में पापियोंका इतना वाद-विवाद सह लिया	इब्रानियों 12:3
तुम ने पाप से लड़ते हुए उस से ऐसी मुठभेड़ नहीं की, कि तुम्हारा लोहू बहा हो।	इब्रानियों 12:4
जब वह तुझे घुड़के तो हियाव न छोड़।	इब्रानियों 12:5
ढीले हाथोंऔर निर्बल घुटनोंको सीधे करो।	इब्रानियों 12:12
सब से मेल मिलाप रखने, और ...पवित्रता के खोजी हो	इब्रानियों 12:14
तुम सिय्योन के पहाड़ के पास, और जीवते परमेश्वर के नगर… के पास।	इब्रानियों 12:22
हम इस राज्य को पाकर जो हिलने का नहीं, अनुग्रह को हाथ से न जाने दें	इब्रानियों 12:28
हम भक्ति, और भय सहित, परमेश्वर की ऐसी आराधना कर सकते हैं जिस से वह प्रसन्न होता है।	इब्रानियों 12:28
भाईचारे की प्रीति बनी रहे।	इब्रानियों 13:1
पहुनाई करना न भूलना	इब्रानियों 13:2
तुम्हारा स्‍वभाव लोभरिहत हो, और जो तुम्हारे पास है, उसी पर संतोष किया करो	इब्रानियों 13:5
मैं तुझे कभी न छोडूंगा, और न कभी तुझे त्यागूंगा।	इब्रानियों 13:5
प्रभु, मेरा सहाथक है; मैं न डरूंगा; मनुष्य मेरा क्‍या कर सकता है।।	इब्रानियों 13:6
यीशु मसीह कल और आज और युगानुयुग एकसा है।	इब्रानियों 13:8
मन का अनुग्रह से दृढ़ रहना भला है	इब्रानियों 13:9
यीशु ने भी लोगोंको अपके ही लोहू के द्वारा पवित्र करने के लिथे फाटक के बाहर दुख उठाया।	इब्रानियों 13:12
उस की निन्‍दा अपके ऊपर लिए हुए छावनी के बाहर उसके पास निकल चलें।	इब्रानियों 13:13
यहां हमारा कोई स्यिर रहनेवाला नगर नहीं, बरन हम एक आनेवाले नगर की खोज में हैं।	इब्रानियों 13:14
हम उसके द्वारा स्‍तुतिरूपी बलिदान,… परमेश्वर के लिथे सर्वदा चढ़ाया करें।	इब्रानियों 13:15
पर भलाई करना, और उदारता न भूलो	इब्रानियों 13:16
अपके अगुवोंकी मानो	इब्रानियों 13:17
सन्‍देह करनेवाला समुद्र की लहर के समान है	याकूब 1:6
धन्य है वह मनुष्य, जो पक्कीझा में स्यिर रहता है	याकूब 1:12
हर एक अच्‍छा वरदान… ऊपर ही से है	याकूब 1:17
उस ने अपक्की ही इच्‍छा से हमें सत्य के वचन के द्वारा उत्‍पन्न किया	याकूब 1:18
उस वचन को नम्रता से ग्रहण कर लो, जो ह्रृदय में बोया गया	याकूब 1:21
वचन पर चलनेवाले बनो, और केवल सुननेवाले ही नहीं	याकूब 1:22
अपके आप को संसार से निष्‍कलंक रखें।।	याकूब 1:27
दया न्याय पर जयवन्‍त होती है।।	याकूब 2:13
कर्मो से विश्वास सिद्ध हुआ।	याकूब 2:22
विश्वास भी कर्म बिना मरा हुआ है।।	याकूब 2:26
कोई वचन में नहीं चूकता, वही तो सिद्ध मनुष्य है	याकूब 3:2
जिस आत्क़ा को उस ने हमारे भीतर बसाया है, क्‍या वह ऐसी लालसा करता है, जिस का प्रतिफल डाह हो	याकूब 4:5
परमेश्वर अभिमानियोंसे विरोध करता है, पर दीनोंपर अनुग्रह करता है।	याकूब 4:6
परमेश्वर के आधीन हो जाओ; और शैतान का साम्हना करो	याकूब 4:7
परमेश्वर के निकट आओ, तो वह भी तुम्हारे निकट आएगा	याकूब 4:8
प्रभु के साम्हने दीन बनो, तो वह तुम्हें शिरोमणि बनाएगा।	याकूब 4:10
प्रभु के आगमन तक धीरज धरो	याकूब 5:7
तुम भी धीरज धरो, और अपके ह्रृदय को दृढ़ करो	याकूब 5:8
प्रभु का शुभागमन निकट है।	याकूब 5:8
प्रभु की अत्यन्‍त करूणा और दया प्रगट होती है।	याकूब 5:11
यदि तुम में कोई दुखी हो तो वह प्रार्यना करे	याकूब 5:13
यदि आनन्‍दित हो, तो वह स्‍तुति के भजन गाए।	याकूब 5:13
विश्वास की प्रार्यना के द्वारा रोगी बच जाएगा	याकूब 5:15
एक दूसरे के लिथे प्रार्यना करो, जिस के चंगे हो जाओ	याकूब 5:16
धर्मी जन की प्रार्यना के प्रभाव से बहुत कुछ हो सकता है।	याकूब 5:16
परमेश्वर… धन्यवाद दो, जिस ने यीशु मसीह को… जी उठने के द्वारा,… हमें जीवित आशा के लिथे नया जन्क़ दिया।	1 पतरस 1:3
तुम भी अपके सारे चाल चलन में पवित्र बनो।	1 पतरस 1:15
पवित्र बनो, क्‍योंकि मैं पवित्र हूं।	1 पतरस 1:16
तुम्हारा निकम्मा चाल-चलन… उस से तुम्हारा छुटकारा चान्‍दी सोने अर्यात्‍ नाशमान वस्‍तुओं के द्वारा नहीं हुआ।	1 पतरस 1:18
तन मन लगाकर एक दूसरे से अधिक प्रेम रखो।	1 पतरस 1:22
प्रभु का वचन युगानुयुग स्यिर रहेगा	1 पतरस 1:25
नथे जन्क़ें हुए बच्‍चोंकी नाई निर्मल आत्क़िक दूध की लालसा करो	1 पतरस 2:2
तुम ने प्रभु की कृपा का स्‍वाद चख लिया है।	1 पतरस 2:3
जो कोई उस पर विश्वास करेगा, वह किसी रीति से लज्ज़ित नहीं होगा।	1 पतरस 2:6
पर तुम एक चुना हुआ वंश, और राज-पदधारी,... और पवित्र लोग	1 पतरस 2:9
सब का आदर करो, भाइयोंसे प्रेम रखो, परमेश्वर से डरो, राजा का सम्मान करो।।	1 पतरस 2:17
वह आप ही हमारे पापोंको अपक्की देह पर लिए हुए क्रूस पर चढ़ गया	1 पतरस 2:24
उसी के मार खाने से तुम चंगे हुए।	1 पतरस 2:24
तुम पहिले भटकी हुई भेड़ोंकी नाईं थे, पर अब… अध्यझ के पास फिर आ गए हो।	1 पतरस 2:25
प्रभु की आंखे धमिर्योंपर लगी रहती हैं	1 पतरस 3:12
और यदि तुम धर्म के कारण दुख भी उठाओ, तो धन्य हो	1 पतरस 3:14
मसीह को प्रभु जानकर अपके अपके मन में पवित्र समझो	1 पतरस 3:15
मसीह ने… पापोंके कारण एक बार दुख उठाया, ताकि हमें परमेश्वर के पास पहुंचाए	1 पतरस 3:18
सब बातोंका अन्‍त तुरन्‍त होनेवाला है	1 पतरस 4:7
बिना कुड़कुड़ाए एक दूसरे की पहुनाई करो।	1 पतरस 4:9
जिस को जो वरदान मिला है, वह उसे...एक दूसरे की सेवा में लगाए।	1 पतरस 4:10
यदि कोई बोले, तो ऐसा बोले, मानोंपरमेश्वर का वचन है	1 पतरस 4:11
यदि कोई सेवा करे; तो उस शक्ति से करे जो परमेश्वर देता है	1 पतरस 4:11
महिमा का आत्क़ा, जो परमेश्वर का आत्क़ा है, तुम पर छाया करता है।	1 पतरस 4:14
तुम्हें महिमा का मुकुट दिया जाएगा, जो मुरफाने को नहीं।	1 पतरस 5:4
परमेश्वर के बलवन्‍त हाथ के नीचे दीनता से रहो, जिस से वह तुम्हें उचित समय पर बढ़ाए।	1 पतरस 5:6
अपक्की सारी चिन्‍ता उसी पर डाल दो	1 पतरस 5:7
ईश्वरीय सामर्य ने सब कुछ जो जीवन और भक्ति से सम्बन्‍ध रखता है, हमें… दिया है	2 पतरस 1:3
उस ने हमें बहुमूल्य और बहुत ही बड़ी प्रतिज्ञाएं दी हैं	2 पतरस 1:4
अपके बुलाए जाने, और चुन लिथे जाने को सिद्ध करने का भली भांति यत्‍न करते जाओ	2 पतरस 1:10
प्रभु के भक्तोंको पक्कीझा में से निकाल लेना… जानता है।	2 पतरस 2:9
प्रभु अपक्की प्रतिज्ञा के विषय में देर नहीं करता	2 पतरस 3:9
प्रभु का दिन चोर की नाईं आ जाएगा	2 पतरस 3:10
यत्‍न करो कि तुम शान्‍ति से उसके साम्हने निष्‍कलंक और निर्दोष ठहरो।	2 पतरस 3:14
हमारे प्रभु के धीरज को उद्धार समझो	2 पतरस 3:15
हमारे प्रभु,… के अनुग्रह और पहचान में बढ़ते जाओ।	2 पतरस 3:18
यह जीवन प्रगट हुआ	1 यूहन्ना 1:2
हमारी यह सहभागिता पिता के साय, और उसके पुत्र यीशु मसीह के साय है।	1 यूहन्ना 1:3
कि हमारा आनन्‍द पूरा हो जाए।।	1 यूहन्ना 1:4
परमेश्वर ज्योति हैं: और उस में कुछ भी अन्‍धकार नहीं।	1 यूहन्ना 1:5
उसके पुत्र यीशु मसीह का लोहू हमें सब पापोंसे शुद्ध करता है।	1 यूहन्ना 1:7
पिता के पास हमारा एक सहाथक है, अर्यात्‍ धामिर्क यीशु मसीह।	1 यूहन्ना 2:1
जो कोई उसके वचन पर चले, उस में सचमुच परमेश्वर का प्रेम सिद्ध हुआ है	1 यूहन्ना 2:5
अन्‍धकार मिटता जाता है और सत्य की ज्योति अभी चमकने लगी है।	1 यूहन्ना 2:8
उसके नाम से तुम्हारे पाप झमा हुए।	1 यूहन्ना 2:12
संसार और उस की अभिलाषाएं दोनोंमिटते जाते हैं	1 यूहन्ना 2:17
जो परमेश्वर की इच्‍छा पर चलता है, वह सर्वदा बना रहेगा।।	1 यूहन्ना 2:17
और जिस की उस ने हम से प्रतिज्ञा की वह अनन्‍त जीवन है।	1 यूहन्ना 2:25
निदान, हे बालको, उस में बने रहो	1 यूहन्ना 2:28
देखो पिता ने हम से कैसा प्रेम किया है	1 यूहन्ना 3:1
हे प्रियों, अभी हम परमेश्वर की सन्‍तान हैं	1 यूहन्ना 3:2
वह इसलिथे प्रगट हुआ, कि पापोंको हर ले जाए	1 यूहन्ना 3:5
हम ने प्रेम इसी से जाना, कि उस ने हमारे अपके प्राण दे दिए	1 यूहन्ना 3:16
हम वचन और जीभ ही से नहीं, पर काम और सत्य के द्वारा भी प्रेम करें।	1 यूहन्ना 3:18
यदि हमारा मन हमें दोष न दे, तो हमें परमेश्वर के साम्हने हियाव होता है।	1 यूहन्ना 3:21
जो तुम में है, वह उस से जो संसार में है, बड़ा है।	1 यूहन्ना 4:4
हम आपस में प्रेम रखें; क्‍योंकि प्रेम परमेश्वर से है	1 यूहन्ना 4:7
परमेश्वर प्रेम है।	1 यूहन्ना 4:8
जो प्रेम परमेश्वर हम से रखता है, वह इस से प्रगट हुआ	1 यूहन्ना 4:9
उस ने हम से प्रेम किया; और हमारे पापोंके प्रायश्‍चित्त के लिथे अपके पुत्र को भेजा।	1 यूहन्ना 4:10
जब परमेश्वर ने हम से ऐसा प्रेम किया, तो हम को भी आपस में प्रेम रखना चाहिए।	1 यूहन्ना 4:11
पिता ने पुत्र को जगत का उद्धारकर्ता करके भेजा है।	1 यूहन्ना 4:14
और जो प्रेम परमेश्वर हम से रखता है, उस को हम जान गए	1 यूहन्ना 4:16
प्रेम में भय नहीं होता, बरन सिद्ध प्रेम भय को दूर कर देता है	1 यूहन्ना 4:18
हम इसलिथे प्रेम करते हैं, कि पहिले उस ने हम से प्रेम किया।	1 यूहन्ना 4:19
उस की आज्ञाएं किठन नहीं।	1 यूहन्ना 5:3
जो कुछ परमेश्वर से उत्‍पन्न हुआ है, वह संसार पर जय प्राप्‍त करता है, और वह विजय जिस से संसार पर जय प्राप्‍त होती है हमारा विश्वास है।	1 यूहन्ना 5:4
वह विजय जिस से संसार पर जय प्राप्‍त होती है हमारा विश्वास है।	1 यूहन्ना 5:4
परमेश्वर ने हमें अनन्‍त जीवन दिया है	1 यूहन्ना 5:11
जो परमेश्वर के पुत्र के नाम पर विश्वास करते हो,… अनन्‍त जीवन तुम्हारा है।	1 यूहन्ना 5:13
जो परमेश्वर से उत्‍पन्न हुआ, उसे वह बचाए रखता है: और वह दुष्‍ट उसे छूने नहीं पाता।	1 यूहन्ना 5:18
हम जानते हैं, कि हम परमेश्वर से हैं, और सारा संसार उस दुष्‍ट के वंश में पड़ा है।	1 यूहन्ना 5:19
परमेश्वर का पुत्र आ गया है और उस ने हमें समझ दी है	1 यूहन्ना 5:20
***	2 यूहन्ना 1:6
तू सब बातोंमे उन्नति करे, और भला चंगा रहे।	3 यूहन्ना 1:2
अपके आप को परमेश्वर के प्रेम में बनाए रखो	यहूदा 1:21
धन्य है वह जो इस भविष्यद्वाणी के वचन को पढ़ता है, और वे जो सुनते हैं	प्रकाशित वाक्य 1:3
वह बादलोंके साय आनेवाला है; और हर एक आंख उसे देखेगी	प्रकाशित वाक्य 1:7
प्रभु परमेश्वर... यह कहता है, कि मैं ही अल्फा और ओमिगा हूं।।	प्रकाशित वाक्य 1:8
मै तेरे काम, और परिश्र्म, और तेरा धीरज जानता हूं	प्रकाशित वाक्य 2:2
जो जय पाए, मैं उसे उस जीवन के पेड़ में से… फल खाने को दूंगा।।	प्रकाशित वाक्य 2:7
प्राण देने तक विश्वासी रह; तो मैं तुझे जीवन का मुकुट दूंगा।	प्रकाशित वाक्य 2:10
जो जय पाए, उस को मैं गुप्‍त मन्ना में से दूंगा	प्रकाशित वाक्य 2:17
चेत कर, कि तु ने किस रीति से शिझा प्राप्‍त की और सुनी यी, और उस में बना रह, और मन फिरा	प्रकाशित वाक्य 3:3
मैं ने तेरे साम्हने एक द्वार खोल रखा है, जिसे कोई बन्‍द नहीं कर सकता	प्रकाशित वाक्य 3:8
मैं शीघ्र ही आनेवाला हूं	प्रकाशित वाक्य 3:11
जो कुछ तेरे पास है, उस यामें रह, कि कोई तेरा मुकुट छीन न ले।	प्रकाशित वाक्य 3:11
जो जय पाए, उस मैं अपके परमेश्वर के मन्‍दिर में एक खंभा बनाऊंगा	प्रकाशित वाक्य 3:12
जिस के कान हों, वह सुन ले कि आत्क़ा कलीसियाओं से क्‍या कहता है।।	प्रकाशित वाक्य 3:13
मैं जिन जिन से प्रीति रखता हूं, उन सब को उलाहना और ताड़ना देता हूं	प्रकाशित वाक्य 3:19
देख, मैं द्वार पर खड़ा हुआ खटखटाता हूं	प्रकाशित वाक्य 3:20
यदि कोई मेरा शब्‍द सुनकर द्वार खोलेगा, तो मैं उसके पास भीतर आकर, उसके साय भोजन करूंगा	प्रकाशित वाक्य 3:20
जो जय पाए, मैं उसे अपके साय अपके सिंहासन पर बैठाऊंगा	प्रकाशित वाक्य 3:21
पवित्र, पवित्र, पवित्र प्रभु परमेश्वर, सर्वशक्तिमान	प्रकाशित वाक्य 4:8
परमेश्वर, तू ही महिमा, और आदर, और सामर्य के योग्य है	प्रकाशित वाक्य 4:11
और उन्‍हें हमारे परमेश्वर के लिथे एक राज्य और याजक बनाया	प्रकाशित वाक्य 5:10
वध किया हुआ मेम्ना… के योग्य है।	प्रकाशित वाक्य 5:12
उद्धार के लिथे हमारे परमेश्वर का जो सिंहासन पर बैठा है, और मेम्ने का जय-जय-कार हो।	प्रकाशित वाक्य 7:10
और परमेश्वर उन की आंखोंसे सब आंसू पोंछ डालेगा।।	प्रकाशित वाक्य 7:17
उस धूप का धुआं पवित्र लोगोंकी प्रार्यनाओं सहित… पहुंच गया।	प्रकाशित वाक्य 8:4
वे मेम्ने के लोहू के कारण, और अपक्की गवाही के वचन के कारण, उस पर जयवन्‍त हुए	प्रकाशित वाक्य 12:11
उसका भजन करो, जिस ने स्‍वर्ग और पृय्‍वी और समुद्र और जल के सोते बनाए।।	प्रकाशित वाक्य 14:7
हे र्स्‍वशक्तिमान प्रभु परमेश्वर, तेरे कार्य्य बड़े, और अद्भुत हैं	प्रकाशित वाक्य 15:3
हे प्रभु, कौन तुझ से न डरेगा और तेरे नाम की महिमा न करेगा	प्रकाशित वाक्य 15:4
हे पवित्र, जो है, और जो या, तू न्यायी है	प्रकाशित वाक्य 16:5
हे सर्वशक्तिमान प्रभु परमेश्वर, तेरे निर्णय ठीक और सच्‍चे हैं।।	प्रकाशित वाक्य 16:7
धन्य वह है, जो जागता रहता है, और अपके वस्‍त्र कि चौकसी करता है	प्रकाशित वाक्य 16:15
मैं सब कुछ नया कर देता हूं	प्रकाशित वाक्य 21:5
मैं प्यासे को जीवन के जल के सोते में से सेंतमेंत पिलाऊंगा।	प्रकाशित वाक्य 21:6
जो जय पाए, वही उन वस्‍तुओं का वारिस होगा	प्रकाशित वाक्य 21:7
धन्य है वह, जो इस पुस्‍तक की भविष्यद्वाणी की बातें मानता है।।	प्रकाशित वाक्य 22:7
जो पवित्र है, वह पवित्र बना रहे।	प्रकाशित वाक्य 22:11
जो कोई चाहे वह जीवन का जल सेंतमेंत ले।।	प्रकाशित वाक्य 22:17
हे प्रभु यीशु आ।।	प्रकाशित वाक्य 22:20
